"RAE","Ministere (Client)","NOM DU SITE","Label","ADRESSE","CODE POSTAL","VILLE"
30000950042884,"Ministďż˝res ďż˝conomiques et financiers","CITE ADMINISTRATIVE COLIGNY","Administration","131 FAUBOURG BANNIER",45000,"ORLEANS"
30000970863242,"Ministďż˝res ďż˝conomiques et financiers","D.I.T.G.","Administration","8 AVENUE JEAN PORTALIS",37200,"TOURS"
30001210281725,"Ministďż˝res ďż˝conomiques et financiers","CITE ADMINISTRATIVE","Administration","24 BOULEVARD HENRI DUNANT",71000,"MACON"
30001420254977,"INTERIEUR","SOUS-DIRECTION DE L'ACCES A LA NATIONALITE FRANCAISE","Administration","93 BIS RUE DE LA COMMUNE DE 1871","44ďż˝400","REZE"
30001420579300,"Ministďż˝res ďż˝conomiques et financiers","MAN","Administration","RUE RENE VIVIANI",44200,"NANTES"
30001420614757,"JUSTICE","CASIER JUDICIAIRE NATIONAL","Service","107 RUE DU LANDREAU 44300 NANTES",44300,"NANTES"
30001420762021,"Ministďż˝res ďż˝conomiques et financiers","I N S E E","Administration","105 RUE DES FRANCAIS LIBRES",44200,"NANTES"
30001420776403,"JUSTICE","M. JUSTICE - CENTRE PENITENTIAIRE","Prison","68 BOULEVARD ALBERT EINSTEIN 44300 NANTES",44300,"NANTES"
30001421039552,"Ministďż˝res ďż˝conomiques et financiers","MEFI - DPMA","Ministere","10 BOULEVARD GASTON DOUMERGUE",44200,"NANTES"
30001421419024,"JUSTICE","M. JUSTICE - PALAIS DE JUSTICE (NANTES)","Tribunal","QUAI FRANCOIS MITTERRAND 44200 NANTES",44200,"NANTES"
30001421814905,"Ministďż˝res ďż˝conomiques et financiers","DSF DE LA LOIRE ATLANTIQUE","Administration","2 RUE GENERAL MARGUERITTE",44000,"NANTES"
30001422346577,"INTERIEUR","HOTEL DE POLICE","Commissariat","PLACE WALDECK ROUSSEAU",44000,"NANTES"
